,Game ID,White Rating,Black Rating,Opening ECO,Opening Ply,White Centi-pawn Loss,White's Number of Inaccuracies,White's Number of Mistakes,White's Number of Blunders,Black Centi-pawn Loss,Black's Number of Inaccuracies,Black's Number of Mistakes,Black's Number of Blunders,Winner
14469,DXnBPHr6,1949,1863,C14,13,5,0,0,0,42,0,1,1,White
14470,ptUUoo2z,2270,1863,B23,3,8,0,0,0,60,1,1,1,White
14471,IYEZ4QBw,1372,1442,A80,2,62,6,4,1,44,8,2,0,Black
14472,gIFm4rYg,1814,1676,B30,5,26,3,0,0,51,5,2,1,White
14473,yR7jsCEp,1830,1448,C45,8,79,4,1,3,57,5,0,3,White
14474,4JP1zita,1827,1877,C02,6,59,2,0,3,30,2,3,1,Black
14475,1TPqmxvn,1836,1926,B04,8,42,3,2,0,28,3,1,0,Black
14476,xyjaiM8h,1764,1799,C00,4,144,5,3,7,116,4,2,4,Black
14477,8Y3AayQl,1807,1891,C30,4,84,6,0,2,37,1,1,2,White
14478,Ae3Rn8O4,1878,1793,C65,6,43,5,2,0,10,0,0,0,Black
14479,6rUUPrcU,1779,1893,B88,12,6,0,0,0,45,0,1,1,White
14480,Ri6odBxN,1762,1979,C69,10,8,0,0,0,27,4,0,0,White
14481,WGqWLnyr,1771,1855,C34,5,109,1,2,2,34,1,0,1,Black
14482,TyPoB3jj,1747,1786,C68,8,10,0,0,0,57,0,0,1,White
14483,4otX5rKT,1798,1720,C58,11,61,1,0,1,5,0,0,0,Black
14484,yOqziGku,1838,1720,C10,6,63,6,3,3,68,10,3,3,Black
14485,288pc4cH,1540,1560,C45,7,14,1,0,0,76,4,0,1,White
14486,vp45Gc7t,2029,1979,C46,7,83,1,0,2,25,2,0,0,Black
14487,cpzxv5dP,2025,1967,C42,5,144,7,1,6,116,7,1,4,Black
14488,xCdnGPCl,1898,1941,A30,12,72,2,0,8,51,3,1,3,Black
14489,qSSOSTxS,1912,1903,A40,2,61,1,1,2,99,2,5,1,White
14490,OeT3i6rG,1880,1881,D00,3,16,2,0,0,54,5,1,1,White
14491,saC52l8m,1848,1824,A45,2,67,6,2,4,86,8,4,5,White
14492,EvCwQPDk,1881,1843,B70,10,79,1,0,4,108,5,1,4,White
14493,swuEufeW,2091,2170,A45,2,83,7,3,5,91,8,2,5,White
