White Rating,Black Rating,accdiff,misdiff,blundiff,Winner
1951,1929,-4,1,-2,White
1911,1929,1,-2,1,White
1893,1901,6,1,-2,White
1879,1796,-1,-6,1,White
1865,1767,-1,-3,0,White
1851,1737,2,-2,-1,White
1849,1883,-1,2,0,Draw
1798,1831,-2,1,2,Black
1807,1868,0,-2,-1,White
1891,1779,0,0,3,Black
1301,1348,-1,0,-2,White
1644,1694,2,2,0,Black
1678,1710,0,2,-3,White
1864,1317,0,0,2,Black
1223,1888,-5,1,-1,White
1438,1141,3,-1,2,Black
1452,1057,3,0,1,Black
1262,1448,4,-1,0,Black
1314,1370,-2,-1,0,Black
1364,1311,-1,0,-1,White
2102,1994,-2,0,-2,White
2084,2074,3,-1,-2,White
2067,2030,-2,-2,1,White
2035,2047,1,0,1,Black
1740,1761,3,1,0,Black
1687,1714,3,-1,0,Black
1502,1473,-2,0,1,Draw
1482,1478,-1,-3,-1,White
1266,1854,-1,-1,2,Black
1977,1868,2,0,1,Black
1862,1435,1,-2,-2,White
1702,1987,1,1,1,Black
1893,1889,2,3,1,Black
1623,1659,-2,0,0,Black
1747,1752,0,-1,2,Black
1745,1776,-1,-2,-1,White
1456,1615,1,1,1,Black
1607,1463,1,1,-2,White
1444,1698,-5,1,-1,White
1313,1145,-2,-2,-11,Draw
1119,1094,2,-1,2,White
1051,1224,-1,-1,-1,White
1112,1223,2,1,2,Black
1224,1303,4,-3,2,Black
1233,1260,3,0,2,Black
1963,2337,6,0,1,Black
2077,1603,-1,0,0,Draw
2077,2230,0,0,0,Draw
2077,1701,-6,0,0,White
1835,1500,3,1,1,Black
1621,1659,-2,2,2,Black
1681,1670,-4,0,2,Draw
1881,1632,0,-1,-2,White
2228,2194,2,0,0,Black
2324,2198,0,0,-1,White
2192,2198,-3,1,-2,White
2204,2185,0,1,0,Black
2183,2285,3,1,-3,Black
2264,2188,1,-1,1,White
2181,2202,-3,-2,0,White
1976,1785,-2,0,-1,White
1770,2364,2,2,1,Black
1822,1650,3,0,-3,White
1656,1815,-1,1,1,Black
1465,1903,0,0,2,Black
1813,2045,0,0,2,Black
2024,2018,-3,-1,0,White
1255,2063,4,-1,0,Draw
2077,2210,2,0,1,Black
1795,2068,1,1,2,Black
2061,1737,3,0,-3,White
2037,2036,-4,-1,0,White
1817,1852,0,-1,-1,White
1811,1818,-3,-1,0,White
1805,1803,0,-1,-2,White
1824,1811,2,-1,-1,White
1777,1805,-3,0,2,Black
1805,1879,-1,1,-2,White
1814,1880,-1,1,0,Black
1958,1908,-1,-1,-1,White
1921,1952,1,1,1,Black
1752,1726,4,-3,0,Black
1923,2078,-1,2,1,Black
1556,1517,-3,2,-1,Black
1648,1669,1,1,-2,White
2433,2279,0,0,-1,White
2441,2256,0,-1,2,Black
2383,2433,-1,0,0,Black
2416,2330,2,0,0,Draw
2267,2426,-1,-1,-2,White
1996,2107,4,0,0,Black
2104,1724,0,-1,-2,White
2005,2097,0,2,2,Black
2077,2068,-1,0,-1,White
2069,1965,-1,-1,-1,White
2083,1962,1,1,1,Black
2090,2180,-3,1,1,Black
2082,1977,1,0,-1,White
2084,2021,0,0,0,Draw
1562,1575,3,-2,2,Black
1950,2095,-3,-3,0,White
1761,1773,0,0,2,Black
1667,1590,-1,-1,-1,White
1477,1661,4,1,1,Black
1653,1641,5,1,0,Black
1653,1640,1,0,1,Black
1629,1665,-1,0,-2,White
1604,1691,-5,-1,-2,White
1595,1547,-2,0,-1,White
1867,1891,-1,0,0,White
1666,1710,3,0,3,Black
1716,1731,3,2,-1,Black
1693,1714,2,-2,2,White
1695,1697,-2,0,0,White
1498,1493,2,0,1,Black
1569,1495,-3,-1,-1,White
1481,1496,1,-1,1,Black
1490,1692,0,1,1,Black
1503,1422,0,-1,0,Black
1902,1970,1,0,1,Black
1829,1875,3,1,1,Black
1859,1897,-2,1,-2,White
1949,1965,2,4,-1,White
1984,1978,4,-1,0,Black
1967,1996,1,-2,-1,White
1253,1536,-1,-1,0,Black
1500,1607,3,0,-2,White
1511,1471,-2,-1,2,Black
1216,1252,-1,1,2,Black
921,1507,1,0,1,Black
1223,1333,3,1,1,Black
1509,1799,1,1,1,Black
1508,1644,-3,0,-1,White
1759,1801,2,3,0,Black
1802,1777,4,1,1,Draw
1773,1808,0,1,-2,White
1806,1522,-2,3,-3,White
1811,1746,0,-1,1,Black
1700,1817,0,0,-1,White
1812,1749,-1,2,-3,White
1620,1809,3,1,1,Black
1804,1767,1,2,0,White
1384,1386,1,-1,-2,White
1358,1374,0,1,2,Black
1326,1333,-4,0,-2,White
